TEI,TPRES,Category,
authorityItem,authorityItem,Element,
authorityList,authorityList,Element,
availability,availabilityInfo,Element,
binaryObject,binaryObject,Element,
binary,binaryVal,Element,
bindingDesc,bindingDesc,Element,
binding,bindingMs,Element,
blbCite,blbCite,Element,
bloc,blocGeounit,Element,
bookEditor,bookEditor,Element,
bookSeries,bookSeries,Element,
broadcast,broadcastSource,Element,
byline,byLine,Element,
caesura,caesuraText,Element,
calendarDesc,calendarDesc,Element,
calendar,calendarItem,Element,
camera,cameraView,Element,
caption,captionText,Element,
case,caseStmt,Element,
castItem,castItem,Element,
castList,castList,Element,
catchwords,catchWords,Element,
catDesc,catDesc,Element,
category,categoryDesc,Element,
catRef,catRef,Element,
cell,cellTable,Element,
certainty,certaintyMarkup,Element,
change,changeEvent,Element,
channel,channelChar,Element,
charDecl,charDecl,Element,
c,charText,Element,
choice,choiceEncode,Element,
author,citeAuthor,Element,
citedRange,citedRange,Element,
citeEdition,citeEdition,Element,
citeFullname,citeFullname,Element,
citeHistory,citeHistory,Element,
meeting,citeMeeting,Element,
citeParenthetical,citeParenthetical,Element,
citeParty,citeParty,Element,
citeRptr,citeRptr,Element,
citeSignal,citeSignal,Element,
citeTitle,citeTitle,Element,
citeVolume,citeVolume,Element,
classCode,classCode,Element,
classDecl,classDecl,Element,
classRef,classRef,Element,
classSpec,classSpec,Element,
cl,clauseText,Element,
climate,climateData,Element,
closer,closerGrp,Element,
code,codeLang,Element,
cb,colBegin,Element,
collation,collationArrange,Element,
collection,collectionName,Element,
colloc,coLocation,Element,
colophon,colophonStmt,Element,
condition,conditionPhys,Element,
constitution,constitutionChar,Element,
constraintSpec,constraintSpec,Element,
conversion,conversionRatio,Element,
correction,correctionPol,Element,
correspAction,correspAction,Element,
correspContext,correspContext,Element,
correspDesc,correspDesc,Element,
corr,corrText,Element,
country,countryIdent,Element,
courtAbbr,courtAbbr,Element,
creation,creationInfo,Element,
cRefPattern,cRefPattern,Element,
xr,crossRef,Element,
custEvent,custEvent,Element,
custodialHist,custodiatlHist,Element,
damageSpan,damageSpan,Element,
damage,damageText,Element,
dataRef,dataRef,Element,
dataSpec,dataSpec,Element,
date,dateEvent,Element,
dateline,dateLine,Element,
decoDesc,decoDesc,Element,
decoNote,decoNote,Element,
default,defaultVal,Element,
def,defText,Element,
delSpan,delSpan,Element,
del,delText,Element,
depth,depthMeasure,Element,
derivation,derivationChar,Element,
desc,descText,Element,
dictScrap,dictScrap,Element,
digestEntries,digestEntries,Element,
dim,dimMeasure,Element,
