Control_Word,Category,Action,Function
\pnrauthN,Paragraph Text,Value,cw_not_coded
\pnrdateN,Paragraph Text,Value,cw_not_coded
\pnrestart,Bullets and Numbering,Flag,cw_not_coded
\pnrnfcN,Paragraph Text,Value,cw_not_coded
\pnrnot,Paragraph Text,Flag,cw_not_coded
\pnrpnbrN,Paragraph Text,Value,cw_not_coded
\pnrrgbN,Paragraph Text,Value,cw_not_coded
\pnrstartN,Paragraph Text,Value,cw_not_coded
\pnrstopN,Paragraph Text,Value,cw_not_coded
\pnrxstN,Paragraph Text,Value,cw_not_coded
\pnscaps,Bullets and Numbering,Toggle,cw_not_coded
\pnseclvl,Bullets and Numbering,Destination,cw_not_coded
\pnsp,Bullets and Numbering,Value,cw_not_coded
\pnstart,Bullets and Numbering,Value,cw_not_coded
\pnstrike,Bullets and Numbering,Toggle,cw_not_coded
\pntext,Bullets and Numbering,Destination,cw_not_coded
\pntxta,Bullets and Numbering,Destination,cw_not_coded
\pntxtb,Bullets and Numbering,Destination,cw_not_coded
\pnucltr,Bullets and Numbering,Flag,cw_not_coded
\pnucrm,Bullets and Numbering,Flag,cw_not_coded
\pnul,Bullets and Numbering,Toggle,cw_not_coded
\pnuld,Bullets and Numbering,Flag,cw_not_coded
\pnuldash,Bullets and Numbering,Flag,cw_not_coded
\pnuldashd,Bullets and Numbering,Flag,cw_not_coded
\pnuldashdd,Bullets and Numbering,Flag,cw_not_coded
\pnuldb,Bullets and Numbering,Flag,cw_not_coded
\pnulhair,Bullets and Numbering,Flag,cw_not_coded
\pnulnone,Bullets and Numbering,Flag,cw_not_coded
\pnulth,Bullets and Numbering,Flag,cw_not_coded
\pnulw,Bullets and Numbering,Flag,cw_not_coded
\pnulwave,Bullets and Numbering,Flag,cw_not_coded
\pnzodiac,Bullets and Numbering,Flag,cw_not_coded
\pnzodiacd,Bullets and Numbering,Flag,cw_not_coded
\pnzodiacl,Bullets and Numbering,Flag,cw_not_coded
\posnegx,Positioned Objects and Frames,Value,cw_not_coded
\posnegy,Positioned Objects and Frames,Value,cw_not_coded
\posx,Positioned Objects and Frames,Value,cw_not_coded
\posxc,Positioned Objects and Frames,Flag,cw_not_coded
\posxi,Positioned Objects and Frames,Flag,cw_not_coded
\posxl,Positioned Objects and Frames,Flag,cw_not_coded
\posxo,Positioned Objects and Frames,Flag,cw_not_coded
\posxr,Positioned Objects and Frames,Flag,cw_not_coded
\posy,Positioned Objects and Frames,Value,cw_not_coded
\posyb,Positioned Objects and Frames,Flag,cw_not_coded
\posyc,Positioned Objects and Frames,Flag,cw_not_coded
\posyil,Positioned Objects and Frames,Flag,cw_not_coded
\posyin,Paragraph Text,Flag,cw_not_coded
\posyout,Paragraph Text,Flag,cw_not_coded
\posyt,Positioned Objects and Frames,Flag,cw_not_coded
\prcolbl,Document Formatting Properties,Flag,cw_not_coded
\printdata,Document Formatting Properties,Flag,cw_not_coded
\printim,Information Group,Destination,cw_not_coded
\private,Document Formatting Properties,Destination,cw_not_coded
\propname,Information Group,Value,cw_not_coded
\proptype,Information Group,Value,cw_not_coded
\protend,Protection Exceptions,Destination,cw_not_coded
\protlevelN,Document Formatting Properties,Value,cw_not_coded
\protstart,Protection Exceptions,Destination,cw_not_coded
\protusertbl,User Protection Information,Destination,cw_not_coded
\psover,Document Formatting Properties,Flag,cw_not_coded
\psz,Document Formatting Properties,Value,cw_not_coded
\pubauto,Macintosh Edition Manager Publisher Objects,Flag,cw_not_coded
\pvmrg,Positioned Objects and Frames,Flag,cw_not_coded
\pvpara,Positioned Objects and Frames,Flag,cw_not_coded
\pvpg,Positioned Objects and Frames,Flag,cw_not_coded
\pwdN,Control Words Introduced bv Other Microsoft Products,Destination,cw_not_coded
\pxe,Index Entries,Destination,cw_not_coded
\qc,Paragraph Formatting Properties,Flag,cw_not_coded
\qd,Paragraph Formatting Properties,Flag,cw_not_coded
\qj,Paragraph Formatting Properties,Flag,cw_not_coded
\qk,Paragraph Formatting Properties,Flag,cw_not_coded
\qi,Paragraph Formatting Properties,Flag,cw_not_coded
\qmspace,Special Characters,Symbol,cw_not_coded
\qr,Paragraph Formatting Properties,Flag,cw_not_coded
\qt,Paragraph Formatting Properties,Flag,cw_not_coded
\rawbgdkbdiag,Table Definitions,Flag,cw_not_coded
\rawclbgbdiag,Table Definitions,Flag,cw_not_coded
\rawclbgcross,Table Definitions,Flag,cw_not_coded
\rawclbgdcross,Table Definitions,Flag,cw_not_coded
\rawclbgdkcross,Table Definitions,Flag,cw_not_coded
\rawclbgdkdcross,Table Definitions,Flag,cw_not_coded
\rawclbgdkfdiag,Table Definitions,Flag,cw_not_coded
\rawclbgdkhor,Table Definitions,Flag,cw_not_coded
\rawclbgdkvert,Table Definitions,Flag,cw_not_coded
\rawclbgfdiag,Table Definitions,Flag,cw_not_coded
\rawclbghoriz,Table Definitions,Flag,cw_not_coded
\rawclbgvert,Table Definitions,Flag,cw_not_coded
\rdblquote,Special Characters,Symbol,cw_not_coded
\readprot,Document Formatting Properties,Flag,cw_not_coded
\red,Color Table,Value,cw_not_coded
\rempersonalinfo,Document Formatting Properties,Flag,cw_not_coded
\result,Objects,Destination,cw_not_coded
\revauth,Font (Character) Formatting Properties,Value,cw_not_coded
\revauthdelN,Character Text,Value,cw_not_coded
\revbar,Document Formatting Properties,Value,cw_not_coded
\revdttm,Font (Character) Formatting Properties,Value,cw_not_coded
\revdttmdelN,Character Text,Value,cw_not_coded
\revised,Font (Character) Formatting Properties,Toggle,cw_not_coded
\revisions,Document Formatting Properties,Flag,cw_not_coded
\revprop,Document Formatting Properties,Value,cw_not_coded
\revprot,Document Formatting Properties,Flag,cw_not_coded
\revtbl,Track Changes,Destination,cw_not_coded
\revtim,Information Group,Destination,cw_not_coded
\ri,Paragraph Formatting Properties,Value,cw_not_coded
\rinN,Paragraph Formatting Properties,Value,cw_not_coded
\row,Special Characters,Symbol,cw_not_coded
\rquote,Special Characters,Symbol,cw_not_coded
\rsidN,Track Changes (Revision Marks),Value,cw_not_coded
\rsidrootN,Track Changes (Revision Marks),Value,cw_not_coded
\rsidtbl,Track Changes (Revision Marks),Destination,cw_not_coded
\rsltbmp,Objects,Flag,cw_not_coded
\rslthtml,Objects,Flag,cw_not_coded
\rsltmerge,Objects,Flag,cw_not_coded
\rsltpict,Objects,Flag,cw_not_coded
\rsltrtf,Objects,Flag,cw_not_coded
\rslttxt,Objects,Flag,cw_not_coded
\rtf,RTF Version,Destination,cw_not_coded
\rtlch,Font (Character) Formatting Properties,Flag,cw_not_coded
\rtldoc,Document Formatting Properties,Flag,cw_not_coded
\rtlgutter,Document Formatting Properties,Flag,cw_not_coded
\rtlmark,Special Characters,Symbol,cw_not_coded
\rtlpar,Paragraph Formatting Properties,Flag,cw_not_coded
\rtlrow,Table Definitions,Flag,cw_not_coded
\rtlsect,Section Formatting Properties,Flag,cw_not_coded
\rxe,Index Entries,Destination,cw_not_coded
\s,Paragraph Formatting Properties,Value,cw_not_coded
\sa,Paragraph Formatting Properties,Value,cw_not_coded
\saautoN,Paragraph Formatting Properties,Toggle,cw_not_coded
\saftnnalc,Section Formatting Properties,Flag,cw_not_coded
\saftnnar,Section Formatting Properties,Flag,cw_not_coded
\saftnnauc,Section Formatting Properties,Flag,cw_not_coded
\saftnnchi,Section Formatting Properties,Flag,cw_not_coded
\saftnnchosung,Section Formatting Properties,Flag,cw_not_coded
\saftnncnum,Section Formatting Properties,Flag,cw_not_coded
\saftnndbar,Section Formatting Properties,Flag,cw_not_coded
\saftnndbnum,Section Formatting Properties,Flag,cw_not_coded
\saftnndbnumd,Section Formatting Properties,Flag,cw_not_coded
\saftnndbnumk,Section Formatting Properties,Flag,cw_not_coded
\saftnndbnumt,Section Formatting Properties,Flag,cw_not_coded
\saftnnganada,Section Formatting Properties,Flag,cw_not_coded
\saftnngbnum,Section Formatting Properties,Flag,cw_not_coded
\saftnngbnumd,Section Formatting Properties,Flag,cw_not_coded
\saftnngbnumk,Section Formatting Properties,Flag,cw_not_coded
\saftnngbnuml,Section Formatting Properties,Flag,cw_not_coded
\saftnnrlc,Section Formatting Properties,Flag,cw_not_coded
\saftnnruc,Section Formatting Properties,Flag,cw_not_coded
\saftnnzodiac,Section Formatting Properties,Flag,cw_not_coded
\saftnnzodiacd,Section Formatting Properties,Flag,cw_not_coded
\saftnnzodiacl,Section Formatting Properties,Flag,cw_not_coded
\saftnrestart,Section Formatting Properties,Flag,cw_not_coded
\saftnrstcont,Section Formatting Properties,Flag,cw_not_coded
\saftnstart,Section Formatting Properties,Flag,cw_not_coded
\sautoupd,Style Sheet,Flag,cw_not_coded
\sb,Paragraph Formatting Properties,Value,cw_not_coded
\sbasedon,Style Sheet,Value,cw_not_coded
\sbautoN,Paragraph Formatting Properties,Toggle,cw_not_coded
\sbkcol,Section Formatting Properties,Flag,cw_not_coded
\sbkeven,Section Formatting Properties,Flag,cw_not_coded
\sbknone,Section Formatting Properties,Flag,cw_not_coded
\sbkodd,Section Formatting Properties,Flag,cw_not_coded
\sbkpage,Section Formatting Properties,Flag,cw_not_coded
\sbys,Paragraph Formatting Properties,Flag,cw_not_coded
\scaps,Font (Character) Formatting Properties,Toggle,cw_not_coded
\scompose,Style Sheet,Flag,cw_not_coded
\sec,Information Group,Value,cw_not_coded
\sect,Special Characters,Symbol,cw_not_coded
\sectd,Section Formatting Properties,Flag,cw_not_coded
\sectdefaultcl,Section Formatting Properties,Value,cw_not_coded
\sectexpandN,Section Formatting Properties,Value,cw_not_coded
\sectlinegridN,Section Formatting Properties,Value,cw_not_coded
\sectnum,Special Characters,Symbol,cw_not_coded
\sectrsidN,Track Changes (Revision Marks),Value,cw_not_coded
\sectspecifycl,Section Formatting Properties,Value,cw_not_coded
\sectspecifygenN,Section Formatting Properties,Flag,cw_not_coded
\sectspecifyl,Section Formatting Properties,Value,cw_not_coded
\sectunlocked,Section Formatting Properties,Flag,cw_not_coded
\sftnbj,Section Formatting Properties,Flag,cw_not_coded
\sftnnalc,Section Formatting Properties,Flag,cw_not_coded
\sftnnar,Section Formatting Properties,Flag,cw_not_coded
\sftnnauc,Section Formatting Properties,Flag,cw_not_coded
\sftnnchi,Section Formatting Properties,Flag,cw_not_coded
\sftnnchosung,Section Formatting Properties,Flag,cw_not_coded
\sftnncnum,Section Formatting Properties,Flag,cw_not_coded
\sftnndbar,Section Formatting Properties,Flag,cw_not_coded
\sftnndbnum,Section Formatting Properties,Flag,cw_not_coded
\sftnndbnumd,Section Formatting Properties,Flag,cw_not_coded
\sftnndbnumk,Section Formatting Properties,Flag,cw_not_coded
\sftnndbnumt,Section Formatting Properties,Flag,cw_not_coded
\sftnnganada,Section Formatting Properties,Flag,cw_not_coded
\sftnngbnum,Section Formatting Properties,Flag,cw_not_coded
\sftnngbnumd,Section Formatting Properties,Flag,cw_not_coded
\sftnngbnumk,Section Formatting Properties,Flag,cw_not_coded
\sftnngbnuml,Section Formatting Properties,Flag,cw_not_coded
\sftnnrlc,Section Formatting Properties,Flag,cw_not_coded
\sftnnruc,Section Formatting Properties,Flag,cw_not_coded
\sftnnzodiac,Section Formatting Properties,Flag,cw_not_coded
\sftnnzodiacd,Section Formatting Properties,Flag,cw_not_coded
\sftnnzodiacl,Section Formatting Properties,Flag,cw_not_coded
\sftnrestart,Section Formatting Properties,Flag,cw_not_coded
\sftnrstcont,Section Formatting Properties,Flag,cw_not_coded
\sftnrstpg,Section Formatting Properties,Flag,cw_not_coded
\sftnstart,Section Formatting Properties,Flag,cw_not_coded
\sftntj,Section Formatting Properties,Flag,cw_not_coded
\shad,Font (Character) Formatting Properties,Toggle,cw_not_coded
\shading,Paragraph Shading,Value,cw_not_coded
\shidden,Style Sheet,Flag,cw_not_coded
\shift,Style Sheet,Flag,cw_not_coded
\shpbottomN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpbxcolumn,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbxignore,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbxmargin,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbxpage,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbyignore,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbymargin,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbypage,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpbypara,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shpfblwtxtN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpfhdrN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpgrp,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpleftN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shplidN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shplockanchor,Word through Word RTF for Drawing Objects (Shades),Flag,cw_not_coded
\shppict,Pictures,Destination,cw_not_coded
\shprightN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shprslt,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shptopN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shptxt,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpwrkN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpwrN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\shpzN,Word through Word RTF for Drawing Objects (Shades),Value,cw_not_coded
\sl,Paragraph Formatting Properties,Value,cw_not_coded
\slinkN,Style Sheet,Value,cw_not_coded
\slmult,Paragraph Formatting Properties,Value,cw_not_coded
\slocked,Style Sheet,Flagged,cw_not_coded
\snaptogridincell,Document Formatting Properties,Flag,cw_not_coded
\snext,Style Sheet,Value,cw_not_coded
\softcol,Special Characters,Flag,cw_not_coded
\softlheight,Special Characters,Value,cw_not_coded
\softline,Special Characters,Flag,cw_not_coded
\softpage,Special Characters,Flag,cw_not_coded
\spersonal,Style Sheet,Flag,cw_not_coded
\splytwnine,Document Formatting Properties,Flag,cw_not_coded
\sprsbsp,Document Formatting Properties,Flag,cw_not_coded
\sprslnsp,Document Formatting Properties,Flag,cw_not_coded
\sprsspbf,Document Formatting Properties,Flag,cw_not_coded
\sprstsm,Document Formatting Properties,Flag,cw_not_coded
\sprstsp,Document Formatting Properties,Flag,cw_not_coded
\spv,Paragraph Formatting Properties,Flag,cw_not_coded
\sreply,Style Sheet,Flag,cw_not_coded
\ssemihidden,Style Sheet,Flag,cw_not_coded
\staticval,Information Group,Value,cw_not_coded
\stextflow,Section Text,Value,cw_not_coded
\strike,Font (Character) Formatting Properties,Toggle,cw_not_coded
\strikedl,Character Text,Toggle,cw_not_coded
\stshfbiN,Default Fonts,Value,cw_not_coded
\stshfdbchN,Default Fonts,Value,cw_not_coded
\stshfhichN,Default Fonts,Value,cw_not_coded
\stshflochN,Default Fonts,Value,cw_not_coded
\stylelock,Document Formatting Properties,Flag,cw_not_coded
\stylelockbackcomp,Document Formatting Properties,Flag,cw_not_coded
\stylelockenforced,Document Formatting Properties,Flag,cw_not_coded
\stylesheet,Style Sheet,Destination,cw_not_coded
\styrsidN,Track Changes (Revision Marks),Value,cw_not_coded
\sub,Font (Character) Formatting Properties,Flag,cw_not_coded
\subdocument,Paragraph Formatting Properties,Value,cw_not_coded
\subfontbysize,Document Formatting Properties,Flag,cw_not_coded
\subject,Information Group,Destination,cw_not_coded
\super,Font (Character) Formatting Properties,Flag,cw_not_coded
\svb,Word through Word RTF for Drawing Objects (Shades),Destination,cw_not_coded
\swpbdr,Document Formatting Properties,Flag,cw_not_coded
\tab,Special Characters,Symbol,cw_not_coded
\tabsnoovrlp,Table Definitions,Flag,cw_not_coded
\taprtl,Table Definitions,Flag,cw_not_coded
\tb,Tabs,Value,cw_not_coded
\tbllkbestfit,Table Definitions,Flag,cw_not_coded
\tbllkborder,Table Definitions,Flag,cw_not_coded
\tbllkcolor,Table Definitions,Flag,cw_not_coded
\tbllkfont,Table Definitions,Flag,cw_not_coded
\tbllkhdrcols,Table Definitions,Flag,cw_not_coded
\tbllkhdrrows,Table Definitions,Flag,cw_not_coded
\tbllklastcol,Table Definitions,Flag,cw_not_coded
\tbllklastrow,Table Definitions,Flag,cw_not_coded
\tbllkshading,Table Definitions,Flag,cw_not_coded
\tblrsidN,Table Definitions,Flag,cw_not_coded
\tc,Table of Contents Entries,Destination,cw_not_coded
\tcelld,Table Definitions,Flag,cw_not_coded
\tcf,Table of Contents Entries,Value,cw_not_coded
\tcl,Table of Contents Entries,Value,cw_not_coded
\tcn,Table of Contents Entries,Flag,cw_not_coded
\tdfrmtxtBottomN,Table Definitions,Value,cw_not_coded
\tdfrmtxtLeftN,Table Definitions,Value,cw_not_coded
\tdfrmtxtRightN,Table Definitions,Value,cw_not_coded
\tdfrmtxtTopN,Table Definitions,Value,cw_not_coded
\template,Document Formatting Properties,Destination,cw_not_coded
\time,Fields,Flag,cw_not_coded
\title,Information Group,Destination,cw_not_coded
\titlepg,Section Formatting Properties,Flag,cw_not_coded
\tldot,Tabs,Flag,cw_not_coded
\tleq,Tabs,Flag,cw_not_coded
\tlhyph,Tabs,Flag,cw_not_coded
\tlmdot,Tabs,Flag,cw_not_coded
\tlth,Tabs,Flag,cw_not_coded
\tlul,Tabs,Flag,cw_not_coded
\toplinepunct,Document Formatting Properties,Flag,cw_not_coded
\tphcol,Table Definitions,Flag,cw_not_coded
\tphmrg,Table Definitions,Flag,cw_not_coded
\tphpg,Table Definitions,Flag,cw_not_coded
\tposnegxN,Table Definitions,Value,cw_not_coded
\tposnegyN,Table Definitions,Value,cw_not_coded
\tposxc,Table Definitions,Flag,cw_not_coded
\tposxi,Table Definitions,Flag,cw_not_coded
\tposxl,Table Definitions,Flag,cw_not_coded
\tposXN,Table Definitions,Value,cw_not_coded
\tposxo,Table Definitions,Flag,cw_not_coded
\tposxr,Table Definitions,Flag,cw_not_coded
\tposy,Table Definitions,Flag,cw_not_coded
\tposyb,Table Definitions,Flag,cw_not_coded
\tposyc,Table Definitions,Flag,cw_not_coded
\tposyil,Table Definitions,Flag,cw_not_coded
\tposyin,Table Definitions,Flag,cw_not_coded
\tposyoutv,Table Definitions,Flag,cw_not_coded
\tposyt,Table Definitions,Flag,cw_not_coded
\tpvmrg,Table Definitions,Flag,cw_not_coded
\tpvpara,Table Definitions,Flag,cw_not_coded
\tpvpg,Table Definitions,Flag,cw_not_coded
\tqc,Tabs,Flag,cw_not_coded
\tqdec,Tabs,Flag,cw_not_coded
\tqr,Tabs,Flag,cw_not_coded
\transmf,Document Formatting Properties,Flag,cw_not_coded
\trauthN,Table Definitions,Value,cw_not_coded
\trautofitN,Table Definitions,Toggle,cw_not_coded
\trbgbdiag,Table Definitions,Flag,cw_not_coded
\trbgcross,Table Definitions,Flag,cw_not_coded
\trbgdcross,Table Definitions,Flag,cw_not_coded
\trbgdkbdiag,Table Definitions,Flag,cw_not_coded
\trbgdkcross,Table Definitions,Flag,cw_not_coded
\trbgdkdcross,Table Definitions,Flag,cw_not_coded
\trbgdkfdiag,Table Definitions,Flag,cw_not_coded
\trbgdkhor,Table Definitions,Flag,cw_not_coded
\trbgdkvert,Table Definitions,Flag,cw_not_coded
\trbgfdiag,Table Definitions,Flag,cw_not_coded
\trbghoriz,Table Definitions,Flag,cw_not_coded
\trbgvert,Table Definitions,Flag,cw_not_coded
\trbrdrb,Table Definitions,Flag,cw_not_coded
\trbrdrh,Table Definitions,Flag,cw_not_coded
\trbrdrl,Table Definitions,Flag,cw_not_coded
\trbrdrr,Table Definitions,Flag,cw_not_coded
\trbrdrt,Table Definitions,Flag,cw_not_coded
\trbrdrv,Table Definitions,Flag,cw_not_coded
\trcbpatN,Table Definitions,Value,cw_not_coded
\trcfpatN,Table Definitions,Value,cw_not_coded
\trdateN,Table Definitions,Value,cw_not_coded
\trftsWidthAN,Table Definitions,Value,cw_not_coded
\trftsWidthBN,Table Definitions,Value,cw_not_coded
\trftsWidthN,Table Definitions,Value,cw_not_coded
\trgaph,Table Definitions,Value,cw_not_coded
\trhdr,Table Definitions,Flag,cw_not_coded
\trkeep,Table Definitions,Flag,cw_not_coded
\trleft,Table Definitions,Value,cw_not_coded
\trowd,Table Definitions,Flag,cw_not_coded
\trpaddbN,Table Definitions,Value,cw_not_coded
\trpaddfbN,Table Definitions,Value,cw_not_coded
\trpaddflN,Table Definitions,Value,cw_not_coded
\trpaddfrN,Table Definitions,Value,cw_not_coded
\trpaddftN,Table Definitions,Value,cw_not_coded
\trpaddlN,Table Definitions,Value,cw_not_coded
\trpaddrN,Table Definitions,Value,cw_not_coded
\trappdtN,Table Definitions,Value,cw_not_coded
\trpatN,Table Definitions,Value,cw_not_coded
\trqc,Table Definitions,Flag,cw_not_coded
\trql,Table Definitions,Flag,cw_not_coded
\trqr,Table Definitions,Flag,cw_not_coded
\trrh,Table Definitions,Value,cw_not_coded
\trshdngN,Table Definitions,Value,cw_not_coded
\trspdbN,Table Definitions,Value,cw_not_coded
\trspdfbN,Table Definitions,Value,cw_not_coded
\trspdflN,Table Definitions,Value,cw_not_coded
\trspdfrN,Table Definitions,Value,cw_not_coded
\trspdftN,Table Definitions,Value,cw_not_coded
\trspdlN,Table Definitions,Value,cw_not_coded
\trspdrN,Table Definitions,Value,cw_not_coded
\trspdtN,Table Definitions,Value,cw_not_coded
\truncatefontheight,Document Formatting Properties,Flag,cw_not_coded
\trwWidthAN,Table Definitions,Value,cw_not_coded
\trwWidthBN,Table Definitions,Value,cw_not_coded
\trwWidthN,Table Definitions,Value,cw_not_coded
\ts,Style Sheet,Value,cw_not_coded
\tsbgbdiag,Table Styles,Flag,cw_not_coded
\tsbgcross,Table Styles,Flag,cw_not_coded
\tsbgdcross,Table Styles,Flag,cw_not_coded
\tsbgdkbdiag,Table Styles,Flag,cw_not_coded
\tsbgdkcross,Table Styles,Flag,cw_not_coded
\tsbgdkdcross,Table Styles,Flag,cw_not_coded
\tsbgdkfdiag,Table Styles,Flag,cw_not_coded
\tsbgdkhor,Table Styles,Flag,cw_not_coded
\tsbgdkvert,Table Styles,Flag,cw_not_coded
\tsbgfdiag,Table Styles,Flag,cw_not_coded
\tsbghoriz,Table Styles,Flag,cw_not_coded
\tsbgvert,Table Styles,Flag,cw_not_coded
\tsbrdrb,Table Styles,Flag,cw_not_coded
\tsbrdrdgl,Table Styles,Flag,cw_not_coded
\tsbrdrdgr,Table Styles,Flag,cw_not_coded
\tsbrdrh,Table Styles,Flag,cw_not_coded
\tsbrdrl,Table Styles,Flag,cw_not_coded
\tsbrdrr,Table Styles,Flag,cw_not_coded
\tsbrdrr,Table Styles,Flag,cw_not_coded
\tsbrdrt,Table Styles,Flag,cw_not_coded
\tsbrdrv,Table Styles,Flag,cw_not_coded
\tscbandhorzeven,Table Styles,Flag,cw_not_coded
\tscbandhorzodd,Table Styles,Flag,cw_not_coded
\tscbandsh,Table Styles,Flag,cw_not_coded
\tscbandsv,Table Styles,Flag,cw_not_coded
\tscbandverteven,Table Styles,Flag,cw_not_coded
\tscbandvertodd,Table Styles,Flag,cw_not_coded
\tscellcbpatN,Table Styles,Value,cw_not_coded
\tscellcfpatN,Table Styles,Value,cw_not_coded
\tscellpaddbN,Table Styles,Value,cw_not_coded
\tscellpaddfbN,Table Styles,Value,cw_not_coded
\tscellpaddflN,Table Styles,Value,cw_not_coded
\tscellpaddfrN,Table Styles,Value,cw_not_coded
\tscellpaddftN,Table Styles,Value,cw_not_coded
\tscellpaddlN,Table Styles,Value,cw_not_coded
\tscellpaddrN,Table Styles,Value,cw_not_coded
\tscellpaddtN,Table Styles,Value,cw_not_coded
\tscellpctN,Table Styles,Value,cw_not_coded
\tscellwidth,Table Styles,Flag,cw_not_coded
\tscellwidthfts,Table Styles,Flag,cw_not_coded
\tscfirstcol,Table Styles,Flag,cw_not_coded
\tscfirstrow,Table Styles,Flag,cw_not_coded
\tsclastcol,Table Styles,Flag,cw_not_coded
\tsclastrow,Table Styles,Flag,cw_not_coded
\tscnecell,Table Styles,Flag,cw_not_coded
\tscnwcell,Table Styles,Flag,cw_not_coded
\tscsecell,Table Styles,Flag,cw_not_coded
\tscswcell,Table Styles,Flag,cw_not_coded
\tsd,Table Styles,Flag,cw_not_coded
\tsnowrap,Table Styles,Flag,cw_not_coded
\tsrowd,Style Sheet,Flag,cw_not_coded
\tsvertalb,Table Styles,Flag,cw_not_coded
\tsvertalc,Table Styles,Flag,cw_not_coded
\tsvertalt,Table Styles,Flag,cw_not_coded
\twoonone,Document Formatting Properties,Flag,cw_not_coded
\tx,Tabs,Value,cw_not_coded
\txe,Index Entries,Destination,cw_not_coded
\ucN,Unicode RTF,Value,cw_not_coded
\ud,Unicode RTF,Destination,cw_not_coded
\ul,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulcN,Font (Character) Formatting Properties,Value,cw_not_coded
\uld,Font (Character) Formatting Properties,Flag,cw_not_coded
\uldash,Font (Character) Formatting Properties,Toggle,cw_not_coded
\uldashd,Font (Character) Formatting Properties,Toggle,cw_not_coded
\uldashdd,Font (Character) Formatting Properties,Toggle,cw_not_coded
\uldb,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulhair,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulhwave,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulldash,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulnone,Font (Character) Formatting Properties,Flag,cw_not_coded
\ulth,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulth,Character Text,Toggle,cw_not_coded
\ulthd,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulthdash,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulthdashd,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulthdashdd,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulthldash,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ululdbwave,Font (Character) Formatting Properties,Toggle,cw_not_coded
\ulw,Font (Character) Formatting Properties,Flag,cw_not_coded
\ulwave,Font (Character) Formatting Properties,Toggle,cw_not_coded
\uN,Unicode RTF,Value,cw_not_coded
\up,Font (Character) Formatting Properties,Value,cw_not_coded
\upr,Unicode RTF,Destination,cw_not_coded
\urtfN,Control Words Introduced bv Other Microsoft Products,Destination,cw_not_coded
\useltbaln,Document Formatting Properties,Flag,cw_not_coded
\userprops,Information Group,Destination,cw_not_coded
\v,Font (Character) Formatting Properties,Toggle,cw_not_coded
\vern,Information Group,Value,cw_not_coded
\version,Information Group,Value,cw_not_coded
\vertalb,Section Formatting Properties,Flag,cw_not_coded
\vertalc,Section Formatting Properties,Flag,cw_not_coded
\vertalj,Section Formatting Properties,Flag,cw_not_coded
\vertalt,Section Formatting Properties,Flag,cw_not_coded
\vertdoc,Document Formatting Properties,Flag,cw_not_coded
\vertsect,Section Formatting Properties,Flag,cw_not_coded
\viewbkspN,Document Formatting Properties,Flag,cw_not_coded
\viewkindN,Document Formatting Properties,Value,cw_not_coded
\viewnobound,Document Formatting Properties,Flag,cw_not_coded
\viewscaleN,Document Formatting Properties,Value,cw_not_coded
\viewzkN,Document Formatting Properties,Value,cw_not_coded
\wbitmap,Pictures,Value,cw_not_coded
\wbmbitspixel,Pictures,Value,cw_not_coded
\wbmplanes,Pictures,Value,cw_not_coded
\wbmwidthbytes,Pictures,Value,cw_not_coded
\webhidden,Font (Character) Formatting Properties,Flag,cw_not_coded
\widctlpar,Paragraph Formatting Properties,Flag,cw_not_coded
\widowctrl,Document Formatting Properties,Flag,cw_not_coded
\windowcaption,Document Formatting Properties,Value,cw_not_coded
